2023/1/1,0
2023/1/31,9.71
2023/2/28,8.58
2023/3/31,18.06
2023/4/30,18.05
2023/5/31,25.72
2023/6/30,31.84
2023/7/31,35.34
2023/8/31,33.23
2023/9/30,27.97
2023/10/31,26.31
2023/11/30,37.59
2023/12/31,44.95
2024/1/31,48.23
2024/2/29,56.12
2024/3/31,60.91
2024/4/30,61.18
2024/5/31,63.15
2024/6/30,67.33
2024/7/31,66
2024/8/31,75.5
2024/9/30,71.58
2024/10/31,68.13
2024/11/30,66.28
2024/12/31,81.94
2025/1/31,96.77
2025/2/28,103.35
2025/3/29,113.32
2025/4/30,102.95
2025/5/31,122.9
2025/6/30,135.14
2025/7/31,135.03
2025/8/31,134.06
2025/9/30,143.39
2025/10/31,156.62
2025/11/30,150.9
2025/12/31,146.14
2026/1/31,169.72
2026/2/28,170.58
2026/3/21,232.46
